"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2023 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
116,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,391.75,393.25,391.75,428.25,428.25,425
117,2213144,"144 Средно училище ""Народни будители""",1142,Български танци - АЕ,333.5,333.5,357.5,427.75,387.5,427.75
118,2212096,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,287.5,287.5,287.5,427.75,392,427.75
119,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",311,313,311,426,361,426
120,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,350,353.25,350,425,399.75,425
121,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",370.75,370.75,371.75,424.75,387,424.75
122,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",331.5,336,331.5,424.5,356.5,424.5
123,2212027,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,30,30,62,424.5,208,424.5
124,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",310.25,310.25,311,424.25,424.25,400
125,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,339.5,339.5,0,423.5,423.5,0
126,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,390,391.25,390,422.25,422.25,408.75
127,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Чужди езици - АЕ интензивно, РЕ",383.5,383.5,409,421.5,418.5,421.5
128,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,354.5,354.5,355,421.5,421.5,373
