"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 10.08.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
130,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",1,293,0,293,293,0,293
131,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",5,291,291.5,291,334,334,315
132,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,1,291,291,0,304.5,304.5,0
133,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,1,290.5,290.5,0,290.5,290.5,0
134,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",1,286.25,286.25,315.25,315.25,292.5,315.25
135,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",1,285.75,0,285.75,285.75,0,285.75
136,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,1,279.5,0,279.5,279.5,0,279.5
137,2212137,"137 средно училище ""Ангел Кънчев""",1838,"Хуманитарни науки - АЕ интензивно, НЕ",1,278,0,278,330,0,330
138,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",1,277.5,0,277.5,277.5,0,277.5
139,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1670,Икономическо информационно осигуряване - АЕ,1,277,277,0,291,291,0
