"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 07.08.2024 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
124,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",324.5,0,324.5,324.5,0,324.5
125,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,324,324,0,324,324,0
126,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки /АЕ/,322.5,322.5,0,322.5,322.5,0
127,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,321.75,321.75,0,329.75,329.75,0
128,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,318,318,0,318,318,0
129,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,314.5,314.5,0,348.5,348.5,0
130,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,312.75,0,312.75,312.75,0,312.75
131,2213010,"10 Средно училище "" Теодор Траянов """,3075,"Природни науки - АЕ, ИЕ",311.5,0,311.5,311.5,0,311.5
132,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,310,323.5,310,323.5,323.5,310
133,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",309.5,0,309.5,393.5,0,393.5
134,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо""",1023,"Чужди езици - ИЕ интензивно, АЕ",308.5,318,308.5,346,337,346
135,2213039,"39 Средно училище ""Петър Динеков""",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",308,308,0,309.5,309.5,0
136,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,308,308,0,308,308,0
137,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,307.25,307.25,0,307.25,307.25,0
138,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, КитЕ/ГрЕ",306.5,306.5,326.5,355,313.5,355
139,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",306.25,306.25,325.5,349.25,306.25,349.25
140,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,304.5,304.5,0,304.5,304.5,0
141,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",4299,"Чужди езици - ИтЕ интензивно, РумЕ",303.75,303.75,317.25,320,303.75,320
142,2213131,"131. СУ ""Климент Аркадиевич Тимирязев""",3905,"Бизнес администрация - АЕ, ИЕ",302,0,302,302,0,302
143,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",299.75,299.75,312.25,312.25,299.75,312.25
144,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,299,0,299,299,0,299
145,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,297,305.5,297,331.5,331.5,311
146,2212096,"96 Средно училище ""Лев Николаевич Толстой""",4109,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",295,0,295,295,0,295
147,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",294,388,294,388,388,294
148,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,291,291,0,291,291,0
149,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,290,290,0,290,290,0
