"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 29.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
126,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,315,315,0,330,330,0
127,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",313,313,327.5,374,330,374
128,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",312.5,319,312.5,333.5,333.5,312.5
129,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",311.75,0,311.75,317.75,0,317.75
130,2213144,"144 Средно училище ""Народни будители""",1118,Музика - АЕ,310,0,310,310,0,310
131,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,310,0,310,327.5,0,327.5
132,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,"Съдебна администрация - АЕ, РЕ",308.5,0,308.5,362.75,0,362.75
133,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,306,306,339,339,314.5,339
134,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",305.25,327.75,305.25,352.75,327.75,352.75
135,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",303.5,315.5,303.5,332,330,332
136,2219044,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",303,303,0,303,303,0
137,2202002,"2 Средно училище ""Академик Емилиян Станев """,0947,"Природни науки - АЕ интензивно ИЕ, БЗО и ХООС",302.5,302.5,0,312.5,312.5,0
138,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",300.25,300.25,0,300.25,300.25,0
139,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",299.25,299.25,326.75,355,299.25,355
140,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,294.75,0,294.75,299.75,0,299.75
141,2209036,"36 Средно училище ""Максим Горки""",0778,Чужди езици - ИтЕ интензивно/ АЕ,294,294,301.5,306,294,306
142,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,293.5,293.5,0,324,324,0
143,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,293,0,293,334,0,334
144,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,292,293,292,324,324,292
145,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",4102,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",290,290,0,292.5,292.5,0
146,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",287.75,287.75,304.25,319,295.75,319
147,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Софтуерни и хардуерни науки - ИЕ,287.5,287.5,291.5,304,287.5,304
148,2212090,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",287.5,0,287.5,303,0,303
