"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
96,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ",365.5,366.75,365.5,405.5,393.5,405.5
97,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",365.5,365.5,384,442,407,442
98,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",363.5,364,363.5,401.5,396,401.5
99,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,363,363.25,363,411.25,411.25,399.5
100,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",362,362,365.75,383.25,372.25,383.25
101,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",361.75,381.25,361.75,381.25,381.25,380.75
102,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,360.5,360.5,362,387,382,387
103,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,360.5,360.5,369.5,446.5,385,446.5
104,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",360,360,361,399.5,399.5,396
105,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",359,359,359,440.5,388,440.5
106,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,Чужди езици - ИЕ интензивно /АЕ,356.5,359,356.5,386.5,386.5,372
107,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,354.5,354.5,354.5,451,370.5,451
108,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,353,353.25,353,430.25,430.25,356.75
109,2204018,"18 Средно училище ""Уилям Гладстон""",1642,Чужди езици - КитЕ интензивно,352.5,352.5,353.5,434.5,385.5,434.5
110,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,351.5,351.5,352.5,416.5,416.5,363
111,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2768,Икономика и мениджмънт - ФЕ,349.5,351.5,349.5,433,382,433
112,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,348.5,348.5,349.5,415,351,415
113,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",348,350,348,398.5,375,398.5
114,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",347,347,372.5,395,361.5,395
115,2204134,"134. средно училище ""Димчо Дебелянов""",1961,Природни науки - АЕ интензивно /Иврит,346.5,347.5,346.5,400.5,357.5,400.5
116,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",345.5,346,345.5,362.25,362,362.25
117,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",345.5,351.25,345.5,403.25,351.25,403.25
118,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",345.5,345.5,0,376.75,376.75,0
119,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,344.25,344.25,353.5,398,396.25,398
120,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,343.5,343.75,343.5,405.75,405.75,385.25
121,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",343,354,343,393.5,368.5,393.5
122,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, НЕ",343,343.5,343,367.5,354.5,367.5
123,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",342,350,342,398,379,398
124,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,340.75,343,340.75,411,411,389
125,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",339.5,339.5,341.5,392,392,375
126,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",336.5,338,336.5,377.5,369,377.5
127,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство на месо месни продукти и риба - АЕ,334.75,0,334.75,334.75,0,334.75
128,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",334,337,334,393.5,393.5,378
129,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",334,335.5,334,393.5,393.5,382.5
130,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,333.5,333.5,334,418,418,379
131,2204134,"134. средно училище ""Димчо Дебелянов""",1968,Софтуерни и хардуерни науки - АЕ интензивно / Иврит,333.25,333.25,352,381.25,381.25,359.5
132,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,332.25,332.25,333.5,392,348,392
133,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,331,331,0,382.5,382.5,0
134,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,Природни науки - ИЕ интензивно,330.5,331,330.5,432,364,432
135,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",329.75,0,329.75,384,0,384
136,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",329.5,329.5,329.5,444.5,368,444.5
137,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",329.25,332.5,329.25,375.75,359,375.75
138,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,Икономическо развитие - АЕ интензивно,328,328.5,328,397.5,354,397.5
139,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,328,328,0,395,395,0
140,2222012,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",325.5,325.5,331,372.5,372.5,365
