Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
135,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,Чужди езици - АЕ интензивно / ФЕ,2,-,-
136,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,Чужди езици - АЕ интензивно /РЕ,0,-,-
137,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,Софтуерни и хардуерни науки - АЕ интензивно /НЕ,0,-,-
138,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3372,"Природни науки - АЕ интензивно/ ИЕ, БЗО и ХООС",0,-,-
139,"33. Езикова гимназия ""Света София""",2762,"Чужди езици - АЕ интензивно, НЕ",3,-,-
140,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",1,-,-
141,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",3,-,-
142,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",1,-,-
143,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",1,-,-
144,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",1,-,-
145,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",1,-,-
146,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",0,-,-
147,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",1,-,-
148,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС НЕ интензивно, РЕ",2,-,-
149,"36 Средно училище ""Максим Горки""",0778,Чужди езици - ИтЕ интензивно/ АЕ,0,-,-
150,"36 Средно училище ""Максим Горки""",0784,Природни науки - АЕ интензивно/ ИтЕ,2,-,-
151,"37. Средно училище ""Райна Княгиня""",2110,"Предприемачески - АЕ разширено, РЕ",8,-,-
152,"37. Средно училище ""Райна Княгиня""",3544,"Малък и среден бизнес - АЕ разширено, РЕ",13,-,-
153,"39 Средно училище ""Петър Динеков""",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,-,-
154,"39 Средно училище ""Петър Динеков""",4110,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",0,-,-
155,"40 Средно училище ""Луи Пастьор""",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,-,-
156,"40 Средно училище ""Луи Пастьор""",3883,"Компютърна графика - АЕ, РЕ",0,-,-
157,"44. Средно училище ""Неофит Бозвели""",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",3,-,-
158,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,-,-
159,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",2,-,-
160,"47 Средно училище ""Христо Груев Данов""",3873,"Предприемачески - АЕ разширено, РЕ",4,-,-
161,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",0,-,-
162,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",0,-,-
163,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",0,-,-
164,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0749,"Чужди езици - АЕ интензивно, ИЕ",4,-,-
165,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",0758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",0,-,-
166,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",0,-,-
