№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
163.  ,"2204134  134. СУ ""Д. Дебелянов""",1968  Софтуерни и хардуерни науки - АЕ интензивно   Иврит,339,385.75,без квоти
164.  ,2211420  НФСГ,2798  Търговия - НЕ (дуална),337.5,354.5,без квоти
165.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1364  Природни науки - АЕ интензивно  ИЕ,337,411.5,без квоти
166.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1362  Хуманитарни науки - ИЕ интензивно  АЕ,336.5,426.5,без квоти
167.  ,"2221138  138 СУЗИЕ  ""Проф.В.Златарски""",2466  Организация на туризма и свободното време - АЕ интензивно КорЕ,336.25,410.75,без квоти
168.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0328  Компютърна техника и технологии - АЕ  НЕ,336,415.5,без квоти
169.  ,"2205105  105. СУ ""Атанас Далчев""",2543  Екскурзоводско обслужване - ИтЕ интензивно  АЕ,335.5,361.5,без квоти
170.  ,"2211419  СГСАГ ""Христо Ботев""",0735  Водно строителство - АЕ,333.5,418,без квоти
171.  ,"2213125  125 СУ ""Боян Пенев""",1546  Хуманитарни науки - АЕ интензивно  РЕ,333,468.75,без квоти
172.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2159  Природни науки - АЕ интензивно  НЕ,333,408,без квоти
