№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
312.  ,"2206409  ПГТЕ ""Хенри Форд""",2383  Експлоатация на автомобилния транспорт,152,248,без квоти
313.  ,2212040  40 СУ,0508  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,151,344.5,без квоти
314.  ,2212090  90 СУ,1384  Предприемачески - ИЕ  АЕ,148,337,без квоти
315.  ,"2205408  СПГ ""Княгиня Евдокия""",2843  Фризьорство,148,322,без квоти
316.  ,"2221430  ПГТ  ""МАКГАХАН""",2187  Спедиция транспортна и складова логистика - АЕ (дневна)  НЕ,148,298.5,без квоти
317.  ,"2215170  170 СУ ""Васил Левски""",3451  Електронна търговия - АЕ,146.25,405.5,без квоти
318.  ,"2208017  17 СУ ""Дамян Груев""",2379  Туристическа анимация - ФЕ интензивно  ИтЕ/ИЕ,146,356.5,без квоти
319.  ,2219095  95 СУ,3354  Предприемачески - АЕ интензивно  РЕ,146,346.5,без квоти
320.  ,2208413  СГХСТ,0563  Декорация на сладкарски изделия - АЕ  НЕ,144,370,без квоти
321.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0344  Организация на хотелиерството -  АЕ,142,290.5,без квоти
322.  ,2216422  ПГМЕ,2193  Промишлена електроника - АЕ  НЕ,138,322,без квоти
323.  ,"2203074  74 СУ ""Гоце Делчев""",1771  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,137,282,без квоти
324.  ,"2219130  130 СУ ""Стефан Караджа""",2236  Продавач-консултант,137,190,без квоти
325.  ,2206411  ПГХВТ,0452  Производство на месо месни продукти и риба - АЕ  РЕ,136.5,245.5,без квоти
326.  ,"2217151  Национално СУ  ""София""",2687  Природни науки - АЕ  РЕ,133,362.5,без квоти
327.  ,"2221430  ПГТ  ""МАКГАХАН""",2212  Спедиция транспортна и складова логистика - АЕ (дуална)  НЕ,127,230,без квоти
328.  ,"2221430  ПГТ  ""МАКГАХАН""",3500  Автотранспортна техника - техник АЕ (дневна)  РЕ,123.5,182.5,без квоти
329.  ,2217424  ПГЕА,2123  Компютърна техника и технологии - АЕ  НЕ/РЕ,123,303.75,без квоти
330.  ,"2206409  ПГТЕ ""Хенри Форд""",2352  Газова техника - АЕ (дуална) РЕ/НЕ,122,242.5,без квоти
331.  ,"2215170  170 СУ ""Васил Левски""",2972  Организация на туризма и свободното време - АЕ,119,404.25,без квоти
332.  ,2217424  ПГЕА,3670  Електрически инсталации - АЕ  НЕ/РЕ,118.5,224.5,без квоти
333.  ,"2218071  71 СУ ""П.Яворов""",1725  Икономическо развитие,117,272,без квоти
334.  ,"2206409  ПГТЕ ""Хенри Форд""",2349  Електрообзавеждане на подемна и асансьорна техника (дуална),117,230,без квоти
335.  ,2208413  СГХСТ,0573  Производство на хляб и хлебни изделия - АЕ (дуална)  НЕ,116,230.5,без квоти
336.  ,"2212056  56.СУ ""Проф. К. Иречек""",2200  Икономическо развитие - АЕ интензивно ИЕ,115,372,без квоти
337.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851  Екология и опазване на околната среда - АЕ  НЕ,114,400.5,без квоти
338.  ,"2207068  68 СУ ""Акад.Никола Обрешков""",3634  Природни науки - АЕ  НЕ/РЕ,109,316,без квоти
339.  ,2212090  90 СУ,1390  Природни науки - АЕ  ИЕ,107,379,без квоти
340.  ,2219095  95 СУ,2459  Природни науки - АЕ интензивно  РЕ,107,334.5,без квоти
341.  ,"2205408  СПГ ""Княгиня Евдокия""",2840  Икономическо информационно осигуряване - АЕ  РЕ,107,226.5,без квоти
342.  ,2207412  ПГ ПО ТРАНСПОРТ,1665  Спедиция транспортна и складова логистика - АЕ,106,249,без квоти
343.  ,2210117  117. СУ,0975  Софтуерни и хардуерни науки,103.5,406,без квоти
344.  ,"2212056  56.СУ ""Проф. К. Иречек""",3640  Електронна търговия - АЕ  НЕ,103,357.5,без квоти
345.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0355  Производство и обслужване в заведенията за хранене и развлечения - АЕ,100,218.5,без квоти
346.  ,2217424  ПГЕА,2147  Автоматизация на непрекъснати производства - АЕ  НЕ/РЕ,98.25,212,без квоти
347.  ,2219095  95 СУ,2359  Чужди езици - РЕ интензивно АЕ,97.5,282,без квоти
348.  ,2204405  ПГ по ПСТТ,3558  Локомотиви и вагони - АЕ (дуална) РЕ,96.5,149,без квоти
349.  ,"2217088  88 СУ ""Д.  Попниколов""",1356  Туристическа анимация - АЕ интензивно  ИЕ/РЕ,96,347.5,без квоти
350.  ,2207412  ПГ ПО ТРАНСПОРТ,1677  Автомобилна мехатроника - АЕ,96,237,без квоти
351.  ,2204405  ПГ по ПСТТ,3562  Ръководител движение - АЕ РЕ,93.5,189.75,без квоти
352.  ,"2208123  123 СУ ""Стефан Стамболов",0631  Логистика на товари и услуги /АЕ/,92,225,без квоти
353.  ,2217424  ПГЕА,3082  Охранителна техника и системи за сигурност - АЕ   НЕ/РЕ,90.5,208,без квоти
354.  ,"2221430  ПГТ  ""МАКГАХАН""",2153  Автотранспортна техника - техник АЕ (дуална)  РЕ,90,279.5,без квоти
355.  ,"2213131  131 СУ ""К.А.Тимирязев""",2449  Търговия на едро и дребно,89,384.5,без квоти
356.  ,2208413  СГХСТ,0547  Производство на хляб хлебни и сладкарски изделия - АЕ  НЕ,89,308,без квоти
357.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0358  Кетъринг - АЕ,88,223,без квоти
358.  ,2207412  ПГ ПО ТРАНСПОРТ,1656  Митническа и данъчна администрация - АЕ,84,324.5,без квоти
359.  ,2216422  ПГМЕ,2173  Металообработващи машини,83,277,без квоти
360.  ,"2221430  ПГТ  ""МАКГАХАН""",3503  Металургия на цветните метали - АЕ  (дуална)  РЕ,82,149,без квоти
361.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0362  Производство на кулинарни изделия и напитки - готвач,80,263.5,без квоти
362.  ,"2221430  ПГТ  ""МАКГАХАН""",2178  Ремонт на летателни апарати - АЕ  РЕ,77,242.5,без квоти
363.  ,"2201078  78. СУ ""Христо Смирненски""",0463  Извършване на термални процедури - АЕ  НЕ,76,355.5,без квоти
364.  ,"2205408  СПГ ""Княгиня Евдокия""",2845  Козметика,76,295.5,без квоти
365.  ,2206411  ПГХВТ,"3671  Производство на месо, месни продукти и риба",76,208.5,без квоти
366.  ,2207412  ПГ ПО ТРАНСПОРТ,1684  Автотранспортна техника - монтьор,74,176,без квоти
367.  ,2208413  СГХСТ,0568  Производство на сладкарски изделия - АЕ (дуална)  НЕ,72,319,без квоти
368.  ,"2206409  ПГТЕ ""Хенри Форд""",2343  Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),72,231,без квоти
369.  ,2215176  176 ОбУ,2460  Софтуерни и хардуерни науки - АЕ  РЕ,72,214,без квоти
370.  ,2204405  ПГ по ПСТТ,2612  Електрически превозни средства - РЕ  АЕ,71.5,151,без квоти
371.  ,"2212037  37. СУ ""Райна Княгиня""",3544  Малък и среден бизнес - АЕ  РЕ,70,290.5,без квоти
372.  ,"2205408  СПГ ""Княгиня Евдокия""",2847  Маникюр педикюр и ноктопластика,69,438.75,без квоти
373.  ,"2208123  123 СУ ""Стефан Стамболов",3674  Логистика на товари и услуги /НЕ/,68,384,без квоти
374.  ,2217424  ПГЕА,2115  Компютърни мрежи - АЕ  НЕ/РЕ,68,290.75,без квоти
375.  ,"2217426  ПГСС ""БУЗЕМА""",2901  Трайни насаждения,67,177,без квоти
376.  ,2208135  135 СУ,2783  Социална работа с деца и семейства в риск - АЕ  РЕ,65,317.5,без квоти
377.  ,2204405  ПГ по ПСТТ,2528  Подемно-транспортна техника монтирана на пътни тр. средства - ФЕ  РЕ,63,175,без квоти
378.  ,"2217426  ПГСС ""БУЗЕМА""",2905  Каменоделство,55,403,без квоти
379.  ,"2206409  ПГТЕ ""Хенри Форд""",1911  Промишлена електроника - АЕ  РЕ/НЕ,55,262.5,без квоти
380.  ,2218192  192 СУ,2952  Туристическа анимация,54,366.25,без квоти
381.  ,"2214101  101 СУ ""БАЧО КИРО""",3656  Търговия на едро и дребно  - АЕ  НЕ,54,315.5,без квоти
