№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
285.  ,"2206113  113 СУ ""Сава Филаретов""",1648  Продавач-консултант /РЕ/,86,200,без квоти
286.  ,"2210085  85 СУ ""Отец Паисий""",1929  Търговия на едро и дребно - АЕ  РЕ,85.5,188.5,без квоти
287.  ,2215176  176 ОбУ,2460  Софтуерни и хардуерни науки - АЕ  РЕ,85,344,без квоти
288.  ,2208413  СГХСТ,0563  Декорация на сладкарски изделия - АЕ  НЕ,82,238.5,без квоти
289.  ,2212027  27. СУ,2387  Софтуерни и хардуерни науки,80,196.5,без квоти
290.  ,2204405  ПГ по ПСТТ,2524  Пътно-строителна техника - АЕ  РЕ,78,227.5,без квоти
291.  ,"2206409  ПГТЕ ""Хенри Форд""",2349  Електрообзавеждане на подемна и асансьорна техника (дуална),78,202,без квоти
292.  ,"2221094  94 СУ ""Д.Страшимиров""",2535  Производство на облекло от текстил,78,78,без квоти
293.  ,2204403  ПГТКИ,3251  Моден дизайн - АЕ  РЕ,76,347.75,без квоти
294.  ,"2221430  ПГТ  ""МАКГАХАН""",2153  Автотранспортна техника - техник АЕ (дуална)  РЕ,74,237,без квоти
295.  ,"2220014  14 СУ ""Проф. д-р А. Златаров",1312  Обществени науки - АЕ  РЕ,72,301.75,без квоти
296.  ,2207412  ПГ ПО ТРАНСПОРТ,1665  Спедиция транспортна и складова логистика - АЕ,71,259,без квоти
297.  ,"2203140  140. СУ ""Иван Богоров""",1895  Български танци,67.25,197.5,без квоти
298.  ,2204403  ПГТКИ,1856  Бутикови облекла,65,236,без квоти
299.  ,"2208017  17 СУ ""Дамян Груев""",2379  Туристическа анимация - ФЕ интензивно  ИтЕ/ИЕ,65,201,без квоти
300.  ,2204405  ПГ по ПСТТ,2612  Електрически превозни средства - РЕ  АЕ,41,151.5,без квоти
301.  ,2206411  ПГХВТ,0455  Производсто и преработка на мляко и млечни продукти,30,243,без квоти
302.  ,2206411  ПГХВТ,0452  Производство на месо месни продукти и риба - АЕ  РЕ,30,238.5,без квоти
303.  ,2214015  15 СУ,3015  Предприемачески,30,181,без квоти
304.  ,"2215172  172 ОбУ ""Христо Ботев""",2807  Производство на облекло от текстил,30,178,без квоти
305.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0362  Производство на кулинарни изделия и напитки - готвач,30,165,без квоти
306.  ,"2217426  ПГСС ""БУЗЕМА""",2905  Каменоделство,30,124,без квоти
307.  ,"2217426  ПГСС ""БУЗЕМА""",2901  Трайни насаждения,30,122,без квоти
308.  ,"2217426  ПГСС ""БУЗЕМА""",2903  Цветарство,30,119,без квоти
309.  ,"2217066  66 СУ ""Филип Станиславов""",1439  Предприемачески,30,88,без квоти
310.  ,2204403  ПГТКИ,1868  Конструиране моделиране и технология на обувни изделия (дуална),30,82,без квоти
