"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
121,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,377.75,381.5,377.75,429,412.25,429
122,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",377.5,377.5,378,429,402,429
123,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Икономическо развитие - АЕ разширено, ИЕ",377,377,379.5,422,399,422
124,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Хуманитарни науки - АЕ интензивно, ИЕ, БЕЛ и ИЦ",376.75,378,376.75,401.5,401.5,397.75
125,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - БЗО, ХООС, АЕ интензивно, НЕ",376.5,377,376.5,423.5,410,423.5
126,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4717,Икономика и мениджмънт - ФЕ,376,376.5,376,395.5,395.5,392
127,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,375.5,383.5,375.5,425.75,413.5,425.75
128,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4388,Оперативно счетоводство - АЕ,374.5,374.5,374.5,387.5,387.5,379.5
129,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",374,374,386.5,436,436,408
130,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",372,372,372.25,438.75,405,438.75
131,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",366.75,366.75,369.25,386.25,381.25,386.25
132,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,366.5,370.5,366.5,406,406,381.5
133,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4814,"Природни науки - БЗО, ХООС, АЕ интензивно, ФЕ",366,366.5,366,427,397.5,427
134,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,"Природни науки - ИЕ интензивно, АЕ",365,371,365,385.5,378,385.5
135,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,364.5,366.5,364.5,418.5,392.5,418.5
136,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,364,369.25,364,406.25,406.25,406.25
137,2204134,"134. средно училище ""Димчо Дебелянов""",1961,"Природни науки - АЕ интензивно, Иврит",362.5,371,362.5,434,392.5,434
138,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,362.5,471.25,362.5,471.25,471.25,422.5
139,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,"Предприемачески - ИЕ, АЕ",360,360,363.25,416.5,416.5,414.25
140,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,359.5,368.25,359.5,406,377.25,406
141,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",359,361,359,389,386,389
142,2222012,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",357.5,362,357.5,433,367,433
